coin,epoch,gamma,theta,curr_power,cumsum_realized,simple_fixed,baseline_fixed,baseline_fixed_walk,simple_moving,baseline_moving,simple_fixed_pct,baseline_fixed_pct,baseline_fixed_walk_pct,simple_moving_pct,baseline_moving_pct,date
FIL,9620001,0.754,4192654.7665782166,2.6885926264569004e+19,6.5427365775561925e+25,215350912.5756501,502485462.6765168,284282524.6242718,284282524.6242718,541248626.9401338,65.46013638332688,65.46013638332688,38.49177959432223,68.05496411074758,79.32996818562678,2029-12-01
FIL,9640001,0.754,4204370.502181283,2.719123401753187e+19,6.596970710785877e+25,215602629.4114465,503072801.96004176,284907499.55241394,284907499.55241394,541881275.2541021,65.53665065579567,65.53665065579565,38.57640103638174,68.20457811308923,79.42269446357327,2029-12-01
FIL,9660001,0.754,4216101.939851461,2.730578355012869e+19,6.651505431017213e+25,215853793.59246957,503658851.71576226,285532506.3309402,285532506.3309402,542512534.5624068,65.6129969379996,65.6129969379996,38.66102679097494,68.35419974015828,79.51521715712316,2029-12-01
FIL,9680001,0.754,4227802.943325164,2.738677832072073e+19,6.706286373977047e+25,216104406.33209586,504243614.7748903,286155089.5439591,286155089.5439591,543142407.9146675,65.68917559876833,65.68917559876833,38.74532439543136,68.50324118501653,79.60753671325452,2029-12-01
FIL,9700001,0.754,4239453.825896608,2.750391292867366e+19,6.761290097164637e+25,216354468.84103784,504827093.96242154,286774210.9980185,286774210.9980185,543770898.3538084,65.76518700612166,65.76518700612165,38.829153278628695,68.6514539124499,79.69965357796397,2029-12-01
FIL,9720001,0.754,4251084.063030662,2.7727096583712203e+19,6.816724770205196e+25,216603982.32734978,505409292.09714943,287391445.24933887,287391445.24933887,544398008.9160724,65.8410315272714,65.8410315272714,38.912726635068,68.79921485863206,79.7915681962689,2030-01-01
FIL,9740001,0.754,4262721.505471306,2.8107428288991855e+19,6.87277622711323e+25,216852947.99643382,505990211.99167883,288008272.75853574,288008272.75853574,545023742.6310369,65.91670952862317,65.91670952862317,38.99624491873,68.94687843400094,79.88328101220976,2030-01-01
FIL,9760001,0.754,4274403.577639069,2.8348425969445663e+19,6.9293331634406365e+25,217101367.05104533,506569856.45243895,288626672.89447784,288626672.89447784,545648102.5216271,65.9922213757781,65.99222137577809,39.079976135642625,69.09491848364256,79.974792468852,2030-01-01
FIL,9780001,0.754,4286071.212403469,2.847586293970066e+19,6.986141608978564e+25,217349240.69129914,507148228.27969795,289243516.8308806,289243516.8308806,546271091.6041318,66.06756743353463,66.06756743353463,39.16349664354401,69.24258599155323,80.06610300828837,2030-01-01
FIL,9800001,0.754,4297733.173823082,2.869645857512589e+19,7.043453088554335e+25,217596570.11467516,507725330.26757526,289859270.9660414,289859270.9660414,546892712.8882169,66.14274806589029,66.14274806589027,39.24686959264184,69.38999260975741,80.15721307164088,2030-02-01
FIL,9820001,0.754,4309384.463690024,2.8858924387645714e+19,7.101094296575274e+25,217843356.51602414,508301165.20405626,290473674.0632779,290473674.0632779,547512969.3769406,66.21776363604339,66.21776363604339,39.330059611557544,69.53707580028144,80.24812309906312,2030-02-01
FIL,9840001,0.754,4321018.192254608,2.8992073828403773e+19,7.159061843315357e+25,218089601.08757347,508875735.8710047,291086366.67363524,291086366.67363524,548131864.0667679,66.29261450639487,66.29261450639487,39.4130180309965,69.6837495139186,80.3388335297423,2030-02-01
FIL,9860001,0.754,4332611.257134155,2.919609572148224e+19,7.217341137002305e+25,218335305.01893312,509449045.0441772,291696138.9817973,291696138.9817973,548749399.9475851,66.36730103855002,66.36730103855002,39.49558104228083,69.82972413055234,80.4293448019014,2030-02-01
FIL,9880001,0.754,4344202.601784785,2.9402813274223186e+19,7.276060056163519e+25,218580469.49710086,510021095.4932353,292305044.59517205,292305044.59517205,549365580.0027134,66.44182359332011,66.44182359332011,39.57802670331731,69.97549126738151,80.51965735280113,2030-03-01
FIL,9900001,0.754,4355776.834991408,2.9736669525483192e+19,7.335267674078863e+25,218825095.7064688,510591889.98176044,292912277.8730075,292912277.8730075,549980407.2089248,66.51618253072436,66.51618253072435,39.660245930558496,70.12085806044965,80.60977161874236,2030-03-01
FIL,9930001,0.754,4373176.878022758,2.9947615497816203e+19,7.424835883332623e+25,219191028.35098028,511445732.81895393,293823705.6338984,293823705.6338984,550900117.9221303,66.6274149398669,66.6274149398669,39.783653011365615,70.33904658131968,80.74457218540807,2030-03-01
FIL,9950001,0.754,4384737.736065674,3.0130383840708395e+19,7.484958413370505e+25,219434314.05301216,512013399.45702827,294428309.38712233,294428309.38712233,551511575.9865705,66.70136640375738,66.70136640375738,39.865516201661094,70.48378388721373,80.83419264148777,2030-03-01
FIL,9970001,0.754,4396310.044286972,3.0480737322754236e+19,7.545767248574528e+25,219677065.61117527,512579819.75940883,295032743.1464696,295032743.1464696,552121691.5694205,66.77515550413577,66.77515550413577,39.947356374830065,70.62848049793249,80.92361633213189,2030-04-01
FIL,9990001,0.754,4407894.444241844,3.0615047330158465e+19,7.606887040412929e+25,219919284.19820464,513144996.4624774,295637039.05297637,295637039.05297637,552730467.6181542,66.84878259747789,66.84878259747788,40.02917788276043,70.7731441077831,81.01284368934706,2030-04-01
FIL,10010001,0.754,4419454.04308455,3.0895398865127035e+19,7.668488433708784e+25,220160970.9842605,513708932.29660773,296239274.84586704,296239274.84586704,553337907.0737747,66.92224803947693,66.92224803947691,40.110720451845175,70.91731454290058,81.10187514419158,2030-04-01
FIL,10030001,0.754,4431045.072592843,3.1252691461757014e+19,7.730804609026227e+25,220402127.1369341,514271629.9861795,296842380.424667,296842380.424667,553944012.8708276,66.99555218504514,66.99555218504513,40.192380789714896,71.06169319781253,81.19071112677717,2030-04-01
