coin,block,total_supply,total_supply_pct,date
FIL,6006961,20999999.945417233,99.99999975498322,2135-01-01
FIL,6059521,20999999.955207296,99.99999980160257,2136-01-01
FIL,6112225,20999999.962954316,99.99999983849315,2137-01-01
FIL,6164785,20999999.967849348,99.99999986180282,2138-01-01
FIL,6217345,20999999.97274438,99.99999988511249,2139-01-01
FIL,6269905,20999999.97763941,99.99999990842217,2140-01-01
FIL,6322609,20999999.981452927,99.99999992658176,2141-01-01
FIL,6375169,20999999.983802542,99.99999993777041,2142-01-01
FIL,6427729,20999999.986152157,99.99999994895904,2143-01-01
FIL,6480289,20999999.988501772,99.9999999601477,2144-01-01
FIL,6532993,20999999.99034389,99.9999999689197,2145-01-01
FIL,6585553,20999999.9915187,99.99999997451401,2146-01-01
FIL,6638113,20999999.992693506,99.99999998010833,2147-01-01
FIL,6690673,20999999.993868314,99.99999998570266,2148-01-01
FIL,6743377,20999999.99478508,99.9999999900682,2149-01-01
FIL,6795937,20999999.995372485,99.99999999286537,2150-01-01
FIL,6848497,20999999.99595989,99.99999999566253,2151-01-01
FIL,6901057,20999999.996547293,99.9999999984597,2152-01-01
