coin,block,total_supply,total_supply_pct,date
FIL,1260289,20672100.78125,98.43857516347802,2044-10-01
FIL,1264753,20675588.28125,98.45518230633763,2044-11-01
FIL,1269073,20678963.28125,98.47125373491146,2044-12-01
FIL,1273537,20682450.78125,98.48786087777107,2045-01-01
FIL,1278001,20685938.28125,98.50446802063068,2045-02-01
FIL,1282033,20689088.28125,98.51946802063293,2045-03-01
FIL,1286497,20692575.78125,98.53607516349254,2045-04-01
FIL,1290817,20695950.78125,98.55214659206636,2045-05-01
FIL,1295281,20699438.28125,98.56875373492599,2045-06-01
FIL,1299601,20702813.28125,98.58482516349981,2045-07-01
FIL,1304065,20706300.78125,98.60143230635943,2045-08-01
FIL,1308529,20709788.28125,98.61803944921904,2045-09-01
FIL,1312849,20713163.28125,98.63411087779286,2045-10-01
FIL,1317313,20716650.78125,98.65071802065248,2045-11-01
FIL,1321633,20720025.78125,98.66678944922631,2045-12-01
FIL,1326097,20723513.28125,98.68339659208593,2046-01-01
FIL,1330561,20727000.78125,98.70000373494554,2046-02-01
FIL,1334593,20730150.78125,98.71500373494779,2046-03-01
FIL,1339057,20733638.28125,98.7316108778074,2046-04-01
FIL,1343377,20737013.28125,98.74768230638121,2046-05-01
FIL,1347841,20740500.78125,98.76428944924083,2046-06-01
FIL,1352161,20743875.78125,98.78036087781466,2046-07-01
FIL,1356625,20747363.28125,98.79696802067429,2046-08-01
FIL,1361089,20750850.78125,98.8135751635339,2046-09-01
FIL,1365409,20754225.78125,98.82964659210772,2046-10-01
FIL,1369873,20757713.28125,98.84625373496733,2046-11-01
FIL,1374193,20761088.28125,98.86232516354116,2046-12-01
FIL,1378657,20764575.78125,98.87893230640078,2047-01-01
FIL,1383121,20768063.28125,98.8955394492604,2047-02-01
FIL,1387153,20771213.28125,98.91053944926263,2047-03-01
FIL,1391617,20774700.78125,98.92714659212226,2047-04-01
FIL,1395937,20778075.78125,98.94321802069607,2047-05-01
FIL,1400401,20781563.28125,98.95982516355568,2047-06-01
FIL,1404721,20784938.28125,98.97589659212952,2047-07-01
FIL,1409185,20788425.78125,98.99250373498913,2047-08-01
FIL,1413649,20791913.28125,99.00911087784876,2047-09-01
FIL,1417969,20795288.28125,99.02518230642256,2047-10-01
FIL,1422433,20798775.78125,99.04178944928219,2047-11-01
FIL,1426753,20802150.78125,99.057860877856,2047-12-01
FIL,1431217,20805638.28125,99.07446802071563,2048-01-01
FIL,1435681,20809125.78125,99.09107516357525,2048-02-01
FIL,1439857,20812388.28125,99.10661087786328,2048-03-01
FIL,1444321,20815875.78125,99.12321802072289,2048-04-01
FIL,1448641,20819250.78125,99.13928944929673,2048-05-01
FIL,1453105,20822738.28125,99.15589659215634,2048-06-01
FIL,1457425,20826113.28125,99.17196802073016,2048-07-01
FIL,1461889,20829600.78125,99.18857516358977,2048-08-01
FIL,1466353,20833088.28125,99.20518230644939,2048-09-01
FIL,1470673,20836200.390625,99.22000187490399,2048-10-01
FIL,1475137,20837944.140625,99.22830544633379,2048-11-01
FIL,1479457,20839631.640625,99.2363411606207,2048-12-01
FIL,1483921,20841375.390625,99.24464473205052,2049-01-01
FIL,1488385,20843119.140625,99.25294830348031,2049-02-01
FIL,1492417,20844694.140625,99.26044830348144,2049-03-01
FIL,1496881,20846437.890625,99.26875187491125,2049-04-01
FIL,1501201,20848125.390625,99.27678758919815,2049-05-01
FIL,1505665,20849869.140625,99.28509116062797,2049-06-01
FIL,1509985,20851556.640625,99.29312687491488,2049-07-01
FIL,1514449,20853300.390625,99.30143044634468,2049-08-01
