coin,layer,simple,baseline,vault1,vault2,comfund,simple_pct,baseline_pct,vault1_pct,vault2_pct,comfund_pct,total_authorized,total_issued,total_authorized_pct,total_issued_pct,date
SMH,5362001,1278946.6859988496,2878114.8482035934,1500000,1500000.0,218792.71232644442,99.72304209299384,96.21427269985418,100.0,100.0,97.2671836359645,5875854.246528887,5875854.246528887,97.95052460720427,97.95052460720427,2072-06-01
SMH,5364001,1278954.4821134622,2878260.384263215,1500000,1500000.0,218800.78244087775,99.72364997780575,96.21913791436667,100.0,100.0,97.27077131168825,5876015.648817555,5876015.648817555,97.95321518429903,97.95321518429903,2072-06-01
SMH,5366001,1278962.261123084,2878405.94858865,1500000,1500000.0,218808.8531427229,99.7242565288938,96.22400407379443,100.0,100.0,97.27435924855368,5876177.062854457,5876177.062854457,97.95590595723691,97.95590595723691,2072-07-01
SMH,5368001,1278970.0230652443,2878551.658149768,1500000,1500000.0,218816.9305902638,99.72486174918427,96.22887508839524,100.0,100.0,97.27795018430704,5876338.611805276,5876338.611805276,97.95859897919058,97.95859897919058,2072-07-01
SMH,5370001,1278977.7679773895,2878696.812166391,1500000,1500000.0,218824.97790230426,99.72546564159691,96.23372753135718,100.0,100.0,97.28152772292657,5876499.558046085,5876499.558046085,97.96128195396486,97.96128195396486,2072-07-01
SMH,5372001,1278985.4958968845,2878841.762039719,1500000,1500000.0,218833.0135756107,99.72606820904521,96.23857314988727,100.0,100.0,97.28510008739349,5876660.271512214,5876660.271512214,97.96396104838388,97.96396104838388,2072-07-01
SMH,5374001,1278993.2068610112,2878986.6178827006,1500000,1500000.0,218841.04340756382,99.72666945443613,96.24341562501904,100.0,100.0,97.2886698550098,5876820.868151275,5876820.868151275,97.96663819529498,97.96663819529498,2072-08-01
SMH,5376001,1279000.900906971,2879130.8076556935,1500000,1500000.0,218849.03729277186,99.72726938067036,96.2482358336872,100.0,100.0,97.29222364202687,5876980.745855437,5876980.745855437,97.96930335755711,97.96930335755711,2072-08-01
SMH,5378001,1279008.5780718827,2879274.994423685,1500000,1500000.0,218857.03013134573,99.72786799064217,96.25305594189932,100.0,100.0,97.29577696374893,5877140.602626913,5877140.602626913,97.97196817087125,97.97196817087125,2072-08-01
SMH,5380001,1279016.2383927845,2879419.0924985134,1500000,1500000.0,218865.0174153315,99.72846528723952,96.2578730851331,100.0,100.0,97.29932781610565,5877300.34830663,5877300.34830663,97.97463113228511,97.97463113228511,2072-08-01
SMH,5382001,1279023.881906632,2879563.2871255823,1500000,1500000.0,218873.00889643235,99.72906127334394,96.26269345607115,100.0,100.0,97.30288053434518,5877460.177928647,5877460.177928647,97.9772954930176,97.9772954930176,2072-08-01
SMH,5384001,1279031.5086503015,2879707.558896994,1500000,1500000.0,218881.0035551208,99.72965595183078,96.26751640591493,100.0,100.0,97.30643466522318,5877620.071102416,5877620.071102416,97.9799609131582,97.9799609131582,2072-09-01
SMH,5386001,1279039.1186605864,2879851.9345339937,1500000,1500000.0,218889.0027997148,99.73024932556893,96.27234282794535,100.0,100.0,97.30999083482588,5877780.055994295,5877780.055994295,97.9826278622402,97.9826278622402,2072-09-01
SMH,5388001,1279046.7119742013,2879995.759352447,1500000,1500000.0,218896.97217508676,99.73084139742113,96.27715083632359,100.0,100.0,97.31353372567233,5877939.443501735,5877939.443501735,97.98528485292012,97.98528485292012,2072-09-01
SMH,5390001,1279054.288627779,2880139.7788036475,1500000,1500000.0,218904.95091744355,99.73143217024375,96.28196535119972,100.0,100.0,97.31708078073531,5878099.01834887,5878099.01834887,97.98794496655384,97.98794496655384,2072-09-01
SMH,5392001,1279061.8486578725,2880283.4804268633,1500000,1500000.0,218912.9120570914,99.7320216468869,96.28676924120853,100.0,100.0,97.32062001028206,5878258.241141827,5878258.241141827,97.99059921144236,97.99059921144236,2072-10-01
SMH,5394001,1279069.3921009542,2880427.423191853,1500000,1500000.0,218920.8850154109,99.73260983019445,96.2915811924941,100.0,100.0,97.32416449397505,5878417.700308219,5878417.700308219,97.99325739667742,97.99325739667742,2072-10-01
SMH,5396001,1279076.9189934167,2880571.3774674404,1500000,1500000.0,218928.8577084662,99.73319672300404,96.29639352857457,100.0,100.0,97.32770885974134,5878577.154169323,5878577.154169323,97.99591549347332,97.99591549347332,2072-10-01
